GL;Descends sur nous
P/COM;Pour que nos cœurs
K;Pardon
AL;Alléluia 7
AC/EN/FIN;Bénissez son nom
PRO;Prendre un enfant
EN;Chantez, priez, célébrez le Seigneur
FIN/CAR;Prenons la main que Dieu nous tend
EN;Libre et sauvé
GL/AV;Préparez, à travers le désert
K;Prière de François - Que ton règne vienne
EN/FIN;Prophète pour les peuples
AV/OF;Prosternez-vous devant votre Roi
PS;Psaume 18 B
PS/AC;Psaume 22 Le Seigneur est mon berger
PS;Psaume 32 Seigneur ton amour soit sur nous comme notre amour est en Toi
OF;Psaume 33
PS;Psaume 99 Tu nous guideras aux sentiers de vie
PEN/OF;Viens Esprit Saint - Veni Sancte Spiritus
AC/HO;Puisque Dieu nous a aimés
P;Quand il disait à ses amis
PRO;Quand on a que l'amour 
PEN;Quand souffle l’Esprit
EN/FIN;Que chante pour toi
PS;Que le Seigneur nous bénisse tous les jours de notre vie
PS/AC/BAP;Que le Seigneur te bénisse
FIN/GL;Que ma bouche chante ta louange
FIN;Que mon coeur serve à te louer
PEN;Que mon Esprit soit sur vous
COM/EN/GL/AC;Que soit béni le nom de Dieu
EN;Que tes œuvres sont belles
EN;Que vienne ton règne
AG/P;Agneau de Dieu, sauveur du monde
FIN;Quel jour de joie !
EN;Qu'exulte la terre, que chante sans fin le peuple de Dieu
COM;Le pain dans nos mains
EN;Vous recevrez une Force
EN;Rassemblés au nom du Père
COM;Recevez le Christ
COM;Recevez le Corps de Christ, buvez à la source immortelle
EN;Bondissez
EN;Christ Seul
EN/AV/GL;Réjouis-toi car il vient
EN;Aujourd'hui s'est levée la lumière
PS;Le gardien d'Israël
M;Réjouis-toi, Marie, toute aimée de Dieu
EN;Là il y avait un jardin
EN;Le Chant du Père
COM;Allumeurs d'étoiles
FIN;Reste avec nous sur les chemins
FIN;Rêve d'un monde
CAR/EN;Revenez à moi de tout votre coeur
AL;Sa Parole est Lumière
BAP/PU;Litanie des Saints
S;Saint Le Seigneur
AC/K;Dieu de tendresse, Dieu de miséricorde
K;Seigneur, j'accueille ton pardon
S;Saint le Seigneur, le Dieu de l'Univers
EN/AV;Dieu est en attente
M;Tu as porté celui qui porte tout
S;Saint, Saint, Saint
M;Sainte Vierge, ma Mère
EN;Plus jamais le même
S;Sanctus
GL/S/HO/AC;Seigneur du ciel et de la terre
EN;Relever le faible
EN;Tout sera grand
EN;Seigneur Jésus, tu es présent
OF/COM;Seigneur mon secours
EN;Seigneur tu es ma force
AN;Seigneur tu es venu pour nous sauver
PU;Seigneur, accueille notre prière 
PU;Seigneur, entends la prière
OF/AC;Donne-moi seulement de t'aimer
S;Saint le Seigneur de l'univers
EN;Une Symphonie
N/PS;Aujourd'hui un sauveur nous est né
K;Seigneur, prends pitié
BAP/FET/P/EN/HO;Seigneur, tu cherches tes enfants
GL/BAP/FET/COM/AC/FIN;Seigneur, tu es toute ma joie
AN;Seigneur, tu es venu pour nous sauver
PRO;Shalom, Freedom, Freude
COM/AC/HO/CAR;Si l’Espérance t’a fait marcher
BAP/FET/COM/AC/EN/HO/FIN;Si le Père vous appelle
COM;Si nous partageons
N/AL;Christ est là, dans la nuit
EN;Signes par milliers
EN;Célébrez la douceur de son nom
AC;Simplicité du coeur - Gardez la simplicité
PEN/BAP/EN/FIN;Souffle de Dieu sur notre terre
PEN/CAR/P;Souffle imprévisible
BAP/AL/CAR/PEN;Source nouvelle
COM/AV/CAR;Sous l'habit du mendiant
M;Sous ton voile de tendresse
AN;Souviens-toi de Jésus-Christ ressucité d'entre les morts
FIN;Sur les routes des hommes
P;Ta lumière a jailli au matin de Pâques
CAR/EN/HO;Ta nuit sera lumière de midi
HO;Ta parole nous réveille
EN;Tenons en éveil la mémoire du Seigneur
PS;Terre d'entière, acclame Dieu, chante le Seigneur
OF;The Kingdom of God
AG;Donnons nous la paix la paix en Jésus Christ
OF;Tiens ma lampe allumée
CAR/P/HO;Toi la source des eaux vives
M;Toi Notre Dame, nous te chantons
PU/AC;Toi qui règnes dans les cieux
AG;La paix, oui la paix
BAP/FET/COM/AC/HO;Touche nos oreilles
EN/FIN/FET/AV/CAR/PEN;Tournés vers l’avenir
GL/FIN;Chantez avec moi
OF;Voici le Don
PS/EP;Toutes les nations, Seigneur, se prosterneront devant toi
OF;Transformation
BAP/FET/HO;Trouver dans ma vie ta présence
HO;Tu aimeras le Seigneur, ton Dieu
AN;Tu as connu la mort, tu es ressucité
EN/AL/GL;Louange et gloire à ton nom, Alléluia
EN/GL;Chante pour Dieu
AN;Aujourd'hui nous célébrons Jésus
OF;Tu entends mon cri, tendre Père
COM;Adorons le Corps du Christ
PU;Entends Seigneur la prière de tes enfants
FIN;Tu es le Dieu des grands espaces
COM;Venez vous abreuver
PS;Tu es proche, Seigneur
COM;Tu fais ta demeure en nous
GL;Tu nous a sauvés, Alléluia
PRO;This Little Light Of Mine
P/BAP/FIN;Tu seras lumière au milieu du monde
CAR;Ubi Caritas
OF;Ubi Caritas
FIN;Un grand champ à moissonner
HO/FIN/BAP/CAR;Un homme au cœur de feu
M;Une cathédrale
EN/FIN/P/K;Une lumière qui ne s'éteint jamais
OF;Une soif emplit notre âme
ME/CAR;Messe de St Elie
GL;Veille sur mon coeur
FIN;Paix dans tes murs
HO;Venez boire à la fontaine
COM;Venez du fond des temps
M;Salve Regina- Regina caeli
EN;Venez, chantons notre Dieu
AG;La paix soit avec nous
EN;Venez, Dieu nous appelle, sa Parole nous rassemble
AV;Venez, divin Messie
PEN;Veni Sancte Spiritus
PEN;Veni Sancte Spiritus
OF;Venite, exultemus Domino
P;Vivre comme le Christ
PU;Vers toi Seigneur
AN;Victoire
EN/AC/HO/AV/N/M;Vienne la paix
OF;Vienne ta Grâce
EN;Viens à la fête
PEN;Viens crier naissance
PEN;Viens embraser nos cœurs
BAP;Appelés enfants de Dieu
PEN;Viens Esprit Saint libérateur
PEN;Viens Esprit très Saint, toi qui emplis tout l'univers
PEN/OF/P/PEN;Viens nous combler de tes dons
EN/AV/HO;Viens, Emmanuel
PEN;Viens, Esprit créateur 
PRO;Who knows But You Lord
COM/HO;Viens, Jésus, dans nos coeurs
OF;Viens, ne tarde plus adore
EN/FIN;Il est temps de quitter vos tombeaux
PRO;Vieux Joe
EN/K/HO/COM/FIN/PEN;Visages de Dieu
PS/P;Bénis le Seigneur Ô mon âme
CAR/EN;Vivons en enfants de lumière
AL/CAR;Acclamation en carême
COM/AC;Laudate omnes gentes - All peoples, praise the Lord
AC;Vocation - Appelés à l'amour infini
OF;El Senyor
M/AV/COM;Voici la demeure de Dieu parmi les hommes
EN/AC/N;Voici la paix sur nous
CAR/AL;Ô Croix dressée sur le monde
CAR/OF;Levons les yeux
EN/GL/AV;Voici le Seigneur
AV/P/AC/HO;Voici le temps du long désir
PS;Voici venir des jours de justice
COM;Tu as ouvert le livre
PRO;Vois sur ton chemin
FIN;Vous êtes le sel de la terre...
CAR/FIN;Ô Jésus Sauveur, cœur brûlant d'amour 
FIN;Vous qui cherchez la vie...
P;Cantique de Moïse
PEN;Vous recevrez une puissance
AC;Vous serez vraiment grands
EN;Voyageurs aux pas perdus
FIN;Allez porter ma joie
HO;XXVI
OF/AG;Dona la pace
PRO/H;Die Anmut
PRO/AC;Intermezzo
GL;J'attendrai
OF;Que ces lieux soient visités
FIN;Vous bondirez de joie
FIN;Jeunes et vieux
FIN;Que la route s'ouvre à ton approche
M;Ave Maria de Lourdes
FET;Qu'il est formidable d'aimer
BAP/EN/FET/HO;Tu es là, au cœur de nos vies
M;Ave Maria
FET;Trumpet voluntary
FET;Canon In D Major
FET;Marche nuptiale
FET;Toi qui aimes
M/FET;Alléluia ! Magnificat !
FET/PRO;Can't Help Falling In Love
FET/PRO;Halleluyah
FET/PU;Oh ! Seigneur, en ce jour, écoute nos prières
OF;Vase d'argile - Grâce infinie
PU;Dans ta miséricorde, Seigneur écoute nous
PU;Dieu de justice et de paix
PU;Dieu de tendresse, souviens-toi de nous
OF/PRO;Hymne à la nuit
FIN/PRO;Hymne au soleil
EN/PRO;Danse des Sauvages
M;Angelus
M;Angélus
M;Apprends-nous Marie
M;Apprends-nous, Marie !
M;Ave Maria
M;Ave Maria à Notre-Dame de Chartres
