# Etapes de la célébration :
# ---------------------------
# 01:   EN: Entrée / ouverture
# 02:	K:  Kyrie / chant de pénitence / rite ou litanie ou prière pénitentiel / "prends pitié de nous" / "pardon"
# 03:	GL: Gloire A Dieu, au Père / louange / Gloria
# 04:	PS: Psaume responsorial / psalmodié	Liturgie de la Parole
# 05:	AL: Alléluia / acclamation de l'Evangile
# 06:	HO: Chant après l'homélie, après la Parole / litanie / cantique / interlude / répons / hymne
# 07:	CR: Credo / profession de foi / "je crois"
# 08:	PU: Prière universelle / "court"
# 09:	OF: Offertoire / offrandes / préparation des dons / méditation / "esprit" / "cri" / "amour" / ostinato / ce qu'on donne à Dieu
# 10:	S:  Sanctus / Hosanna / louange eucharistique / "Saint le Seigneur"	Liturgie de l'Eucharistie / Paroles de la consécration
# 11:	AN: Acclamations de la prière eucharistique / épiclèses	/ Anamnèse
# 12:	DOX:    Doxologie / "Par Lui, avec Lui et en Lui"
# 13:	NP: Notre Père / oraison dominicale
# 14:	AG: Agneau de Dieu / Agnus Dei / fraction du pain / "paix"
# 15:	COM:    Communion / "pain" / eucharistie
# 16:	AC: Action de grâce / bénédiction / "Louez Dieu" / Laudate Dominum / adoration eucharistique
# 17:   M: Chant à Marie
# 18:	FIN:    Envoi / final
# ========================================
# Temps de l'année liturgique :
# ------------------------------
# 01:	CAR:    Mercredi des cendres / jeudi, vendredi saint / Carême	40 jours avant Pâques
# 02:	P:  Pâques	entre le 22 mars et le 25 avril
# 03:	A:  Ascencion	40 jours après Pâques
# 04:	PEN:    Pentecôte / Esprit Saint	50 jours après Pâques
# 05:	M:  Marie / Assomption	15 août ou 01 janvier
FIN;Besoin d'espoir
COM;Demeurez en mon amour
EN;Bienvenue
COM;Mon coeur exulte en Dieu notre Sauveur - A toi Seigneur, à toi notre louange - Tridal a ra
COM;Qui mange ma chair
HO/P;Brillez déjà, lueurs de Pâques, scintillez au jour de demain
PS;Cantique de Daniel
PRO/HO;Cantique de Jean Racine
HO;Car Dieu est un Dieu puissant
COM;Ce pain, c'est l'Amour qui se donne
COM;Le Seigneur nous a aimés
HO;Ce qu'il y a de fou dans le monde, voilà ce que Dieu
COM;Dieu Tout-puissant
N;C'est le jour de la Noël
N;C'est Noël tous les jours
EN;C'est Toi, Seigneur notre joie
GL;Je suis dans la joie
EN;C'est Toi, Seigneur, qui nous a choisis, tu nous appelle tes amis
PRO;Chanson pour l’Auvergnat
A;Chant pour la fête de l’Ascension
COM/AV;Goûtez et voyez
OF/COM;Mon Père, je m'abandonne à Toi, fais de moi ce qu'il te plaira
M;Chante et danse Vierge Marie
EN/FIN;Qu'exulte tout l'univers
EN/FIN;Si tu m'aimes, fais de même
S/GL;Chantez gloire !
EN/FIN;Debout resplendis
PRO;Cherbourg avait raison
M;Chercher avec Toi, Marie
CAR;Choral pour la samaritaine
FIN;Christ aujourd'hui nous appelle
EN/FIN/PS;Bénis le Seigneur Ô mon âme
P;Christ est ressucité, Alléluia, Il a vaincu la mort
AN;Christ est venu
COM;Christ hier, Christ aujourd’hui
OF/COM;Simplement, je m'abandonne
FIN;Christe, lux mundi
CAR;Comme l'aveugle, je viens vers toi
OF;Comme lui
CAR;Comme on plante une croix
PRO;Comme un enfant
HO/EN/BAP;Comme un enfant
FIN/AL;Dieu est une fête aujourd'hui
AC;Comme une huile de lampe
EN/FIN;Criez de joie, pauvres de cœur
EN/BAP;Le signe du baptême
M;Couronnée d'étoiles
CR;Credo de Lourdes nº2
PS;Criez de joie
P;Criez de joie, Christ est ressuscité
OF/HO;Nada te turbe - Que rien ne te trouble
AC/EP/A/PEN;Dans le coeur de l'Eglise ma Mère
OF;Me voici Seigneur
FIN;Dans le soleil ou le brouillard
K;Dans nos obscurités
K;Dans ton amour pitié pour moi
EN/ FIN/GL/HO;Danse de joie
EN/FIN/HO/OF;Seigneur, par la clarté
EN/AV/EP;Debout, peuple de Dieu!
FIN/CR/OF;Actes d'apôtre
COM;Voici le corps et le sang du Seigneur
OF;Devant toi
COM;Devenez ce que vous recevez
OF/AC;Mon âme se repose
GL;Dieu de l'Alliance
M;Je vous salue, Marie, comblée de grâce
COM/AC/HO/EN/CAR/P;Dieu est Amour, Dieu est Lumière
AL;Yezu azali awa - Jésus est présent au milieu de nous
PU/OF/AC;Seigneur, fais de nous des ouvriers de paix
OF;Dieu ne peut donner que son amour
EN/FIN;Dieu notre Père, amour puissant
HO/OF/COM/AC;L'Amour jamais ne passera
EN;Dieu nous a tous appelés
EN;Dieu nous accueille en sa maison
EN/HO/COM/CAR;Dieu plus grand que notre cœur
CAR/HO/P/PEN;Dieu qui nous appelle à vivre
OF;Dieu t'aime
COM;Vous qui avez soif, venez à moi
AL;Voici celui qui vient
PEN;Dieu vivant, fais-nous vivre
EN/FIN/HO;Disciple de Jésus
PRO;Dis-moi Céline
AV/N/AL;Réjouis-toi, Jérusalem
AG;Donne la paix
PS;Réjouis-toi, Jérusalem
M;Donne-nous ton Fils
AL;Chante Alléluia au Seigneur
AL;Chante au Seigneur toute la terre
N;Douce nuit
COM/CAR;Seigneur, je ne suis pas digne
CAR/HO;Ecoute Israël
PU;Ecoute la prière que je chante pour toi
EN;Ecoute la voix du Seigneur
GL;Pour tes merveilles
FIN/BAP/HO;Ecoute, écoute
EN/FIN;Ecoute, ton Dieu t'appelle
EN;Eglise du Seigneur
ME;Messe du Serviteur
EN/AC;Elevons les mains, chantons le Seigneur
PRO;Emmenez moi
PS;En Dieu seul
COM;En mémoire du Seigneur
OF;En ti confío, Señor - Notre âme attend
HO/OF;En toi j’ai mis ma confiance
COM/AC/CAR/HO;En toi Seigneur, mon Espérance
COM;Tu es mon Dieu
OF;Père Saint
FET/EN/FIN;Envoie ton souffle, Dieu Très-Haut
FIN;Envoyés sur toute la planète
OF;Méditant jour et nuit
PEN;Esprit de Dieu, Souffle de vie, Esprit de Dieu, Souffle de feu
D;Venons partager
